date,median_prem
2023-06-16,38.04
2023-06-19,38.0
2023-06-20,38.7
2023-06-21,38.79
2023-06-26,40.23
2023-06-27,39.38
2023-06-28,39.57
2023-06-29,38.25
2023-06-30,36.93
2023-07-03,36.73
2023-07-04,36.38
2023-07-05,36.45
2023-07-06,36.48
2023-07-07,37.17
2023-07-10,36.82
2023-07-11,35.99
2023-07-12,37.53
2023-07-13,37.14
2023-07-14,36.84
2023-07-17,36.63
2023-07-18,36.18
2023-07-19,37.09
2023-07-20,37.52
2023-07-21,37.59
2023-07-24,37.25
2023-07-25,35.92
2023-07-26,35.64
2023-07-27,36.56
2023-07-28,36.2
2023-07-31,35.53
2023-08-01,37.84
2023-08-02,35.98
2023-08-03,36.97
2023-08-04,36.46
2023-08-07,36.28
2023-08-08,36.28
2023-08-09,37.52
2023-08-10,37.59
2023-08-11,39.13
2023-08-14,38.75
2023-08-15,39.15
2023-08-16,40.2
2023-08-17,39.47
2023-08-18,40.7
2023-08-21,40.93
2023-08-22,39.99
2023-08-23,42.11
2023-08-24,42.84
2023-08-25,44.22
2023-08-28,42.81
2023-08-29,40.83
2023-08-30,40.0
2023-08-31,40.64
2023-09-01,40.42
2023-09-04,39.57
2023-09-05,39.29
2023-09-06,38.66
2023-09-07,38.03
2023-09-08,37.64
2023-09-11,36.87
2023-09-12,36.95
2023-09-13,37.84
2023-09-14,38.2
2023-09-15,38.12
2023-09-18,37.72
2023-09-19,38.31
2023-09-20,39.12
2023-09-21,39.47
2023-09-22,38.59
2023-09-25,38.66
2023-09-26,39.56
2023-09-27,39.23
2023-09-28,38.42
2023-10-09,39.01
2023-10-10,39.21
2023-10-11,38.71
2023-10-12,37.96
2023-10-13,38.54
2023-10-16,37.76
2023-10-17,36.78
2023-10-18,37.85
2023-10-19,37.77
2023-10-20,38.36
2023-10-23,39.5
2023-10-24,38.57
2023-10-25,37.63
2023-10-26,37.16
2023-10-27,36.94
2023-10-30,35.38
2023-10-31,35.5
2023-11-01,34.47
2023-11-02,35.64
2023-11-03,35.06
2023-11-06,34.42
2023-11-07,34.2
2023-11-08,33.86
2023-11-09,34.33
2023-11-10,33.95
2023-11-13,32.97
2023-11-14,33.38
2023-11-15,33.14
2023-11-16,32.55
2023-11-17,31.32
2023-11-20,31.13
2023-11-21,31.77
2023-11-22,31.88
2023-11-23,30.71
2023-11-24,31.13
2023-11-27,31.09
2023-11-28,30.71
2023-11-29,31.55
2023-11-30,31.88
2023-12-01,31.91
2023-12-04,32.22
2023-12-05,33.94
2023-12-06,33.49
2023-12-07,34.46
2023-12-08,35.07
2023-12-11,33.82
2023-12-12,32.95
2023-12-13,33.59
2023-12-14,34.42
2023-12-15,34.18
2023-12-18,35.22
2023-12-19,34.39
2023-12-20,35.12
2023-12-21,34.97
2023-12-22,35.16
2023-12-25,34.96
2023-12-26,35.92
2023-12-27,35.47
2023-12-28,34.24
2023-12-29,33.54
2024-01-02,33.84
2024-01-03,33.54
2024-01-04,33.51
2024-01-05,34.12
2024-01-08,35.9
2024-01-09,35.11
2024-01-10,36.81
2024-01-11,35.51
2024-01-12,36.05
2024-01-15,36.69
2024-01-16,36.2
2024-01-17,38.33
2024-01-18,38.32
2024-01-19,39.66
2024-01-22,45.55
2024-01-23,45.48
2024-01-24,43.57
2024-01-25,41.23
2024-01-26,43.37
2024-01-29,44.38
2024-01-30,47.52
